KLNCIT/ECE/135,Digital Signal Processing,Sanjit K.Mitra,Tata.M.C.Grawhill
KLNCIT/ECE/136,P 8086 Programming & Inter Facing,A.Nagoor Kani,R.B.A.
KLNCIT/ECE/137,Antenna & Wave Propagation,A.K.Gowtham,S.K.Karthika
KLNCIT/ECE/138,Radar & Senser Engineering,K.K.Sharma,S.K.Karthika
KLNCIT/ECE/139,Electromagnetic fields and waves,R.Gowri,S.K.Karthika
KLNCIT/ECE/140,Digital Signal Processing,Sanjay Sharma,S.K.Karthika
KLNCIT/ECE/141, Digital electronics,B.R.Gupta,Katson books
KLNCIT/ECE/142,Signals and Systems,Sanjay Sharma,S.K.Karthika
KLNCIT/ECE/143,Basic Electronics,J.B.Gupta,S.K.Karthika
KLNCIT/ECE/144,Circuits & Systems,K.M.Soni,S.K.Karthika
KLNCIT/ECE/145,~,~,~
KLNCIT/ECE/146,Optical Communication ,R.K.Singh,~
KLNCIT/ECE/147,Electronic devices and circuits,J.B.Gupta,S.K.Kavitha & Sons
KLNCIT/ECE/148,EM waves & Wave guides,S.Aruna,Anuradha
KLNCIT/ECE/149,Digital Communication,K.S.Srinivasan,Anuradha
KLNCIT/ECE/150,Electronics Lab Primer,S.Poornachandra; B.Sasikala,S.Chand & company
KLNCIT/ECE/151,TV & Video Engineering,G.Nagarajan,A.R.S.Publications
KLNCIT/ECE/152,Microprocessor & Microcontroller,Nagoor Kani,R.B.A.
KLNCIT/ECE/153,Electrical Technology,C.R.Durgon,Dhanpat Rai
KLNCIT/ECE/154,Digital Electronics & Micro Computers,R.K.Gaur,Dhanpat Rai
KLNCIT/ECE/155,Electronic Devices & Circuits,Sanjay Gupta,Dhanpat Rai
KLNCIT/ECE/156,B.E ECE/DE(IV sem) 2marks,Pratheeba,~
KLNCIT/ECE/157,Prof.Ethics & Human Values,Prof.K.Krishnaswamy & Dr.K.Thangaraj,R.K.Publishers
KLNCIT/ECE/158,Digital Signal Processing,Dr.S.Sivanandam,R.K.Publishers
KLNCIT/ECE/159,Prof.Ethics,Dr.A.Ifthikarudeen; B.A.Krishnaiah,Sooraj Publications
KLNCIT/ECE/160,Principles of Management,Dr.K.Ravichandran,~
